2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,3.351695,3.351695,3.351695,3.351695
3.351695,3.351695,3.351695,3.351695,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356
2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,3.351695,3.351695,3.351695
4.022034,3.351695,3.351695,3.351695,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356
2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,3.351695,3.351695,4.022034
4.692374,4.022034,3.351695,3.351695,3.351695,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356
2.011017,2.011017,2.011017,2.681356,2.681356,2.681356,2.681356,2.681356,2.681356,3.351695,3.351695,4.022034
4.692374,4.022034,3.351695,3.351695,2.681356,2.681356,2.681356,2.681356,2.681356,2.011017,2.011017,2.011017
2.011017,2.011017,2.011017,2.011017,2.011017,2.011017,2.011017,2.681356,2.681356,2.681356,3.351695,3.351695
4.022034,3.351695,2.681356,2.681356,2.681356,2.681356,2.011017,2.011017,2.011017,2.011017,2.011017,2.011017
2.011017,2.011017,2.011017,2.011017,2.011017,2.011017,2.011017,2.011017,2.681356,2.681356,2.681356,3.351695
4.022034,3.351695,2.681356,2.681356,2.681356,2.011017,2.011017,2.011017,2.011017,2.011017,2.011017,2.011017
