3.538347,3.538347,3.538347,3.032869,3.032869,3.032869,3.032869,3.032869,3.538347,3.032869,3.032869,3.032869
3.538347,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869
3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869
3.538347,3.538347,3.032869,3.032869,3.032869,2.527391,3.032869,3.032869,3.032869,3.032869,3.032869,3.032869
2.527391,2.527391,2.527391,2.527391,2.527391,3.032869,2.527391,2.527391,2.527391,3.032869,3.032869,3.538347
4.043824,3.032869,3.032869,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391
2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,3.032869,3.032869
4.549302,3.032869,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391
2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,3.032869,3.538347
4.549302,3.538347,3.032869,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391
2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,3.032869,3.538347
5.054782,3.538347,3.032869,3.032869,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391,2.527391
