110.32236,101.41436,125.39748,219.9595,285.7418,295.335,313.151,371.3958,478.292,496.1081,509.8127,524.8878,528.999,520.0912,522.8322,515.2946,512.5536,510.498,508.4422,502.9604,499.5342
539.2776,535.1664,531.0548,527.6288,522.8322,514.6092,511.1832,504.3308,504.3308,507.757,507.757,502.9604,499.5342,496.1081,494.0523,491.3114,486.5148,487.8853,485.8295,487.8853,489.2556
533.7958,529.6844,526.9434,523.5174,520.0912,515.9798,511.8683,508.4422,505.016,502.9604,501.5899,498.1638,494.0523,489.941,486.5148,483.0887,480.3477,478.9772,476.2362,474.8659,474.8659
541.3334,536.5366,531.74,527.6288,520.7764,516.665,509.8127,500.2194,500.9047,496.7932,493.3671,489.2556,487.8853,481.7182,479.6625,476.9216,475.5511,474.1806,472.8101,468.0135,470.7544
538.5924,536.5366,534.481,533.1106,530.3696,522.8322,520.0912,516.665,515.9798,515.9798,517.3502,515.2946,511.8683,510.498,509.1275,507.757,515.2946,522.8322,544.7596,576.9654,623.5612
519.4058,519.4058,522.8322,526.9434,532.4254,533.7958,515.2946,513.2388,520.7764,535.8514,556.4086,589.985,603.0042,613.9678,642.7476,683.1764,796.2396,948.3612,961.3806,893.5426,776.368
513.9242,515.9798,524.8878,528.314,542.7036,549.5562,490.6262,478.9772,478.9772,520.7764,575.595,569.4278,552.297,572.1688,643.433,668.1014,733.8836,807.8888,749.644,660.5638,637.951
490.6262,490.6262,507.757,510.498,520.7764,513.2388,478.9772,455.6794,452.9384,464.5873,533.1106,550.2414,535.8514,555.038,603.0042,640.692,759.9224,783.9056,750.3292,673.583,600.2632
489.2556,489.941,508.4422,515.2946,526.2582,524.8878,476.2362,461.1612,462.5317,523.5174,584.503,562.5756,579.7064,585.1884,650.2852,722.2346,838.7242,840.0946,779.109,648.2296,632.4694
574.2244,600.9486,615.3384,605.06,597.5224,590.67,557.0936,530.3696,523.5174,528.314,568.0574,600.9486,596.8372,611.2272,640.0066,668.7864,709.9004,720.179,666.7308,580.3916,557.0936
545.4446,535.1664,531.0548,524.2024,524.2024,518.7208,509.8127,507.757,518.7208,568.0574,655.7672,688.6584,645.4886,588.6144,573.5392,570.7984,546.13,526.9434,510.498,499.5342,494.0523
490.6262,491.9966,500.9047,502.2752,500.9047,496.1081,479.6625,474.1806,474.8659,481.7182,498.8489,521.4616,536.5366,544.7596,546.13,572.1688,600.2632,581.0768,570.1132,551.612,545.4446
488.5705,485.1443,495.4228,493.3671,488.5705,476.2362,450.1974,436.4928,430.3257,436.4928,457.0498,459.7907,460.476,456.3646,456.3646,491.9966,570.1132,581.0768,566.6868,520.7764,535.1664
429.6406,427.5849,440.6043,459.7907,468.6988,467.3283,435.8077,400.1756,397.4346,398.1198,440.6043,489.941,449.5122,480.3477,498.8489,633.1544,759.2372,760.6074,735.9394,627.6726,637.951
427.5849,425.5291,440.6043,441.2895,447.4566,447.4566,401.5461,385.1004,380.3038,398.1198,439.2338,433.7519,422.103,439.2338,461.8465,586.5586,756.4962,744.162,625.6168,491.3114,488.5705
549.5562,556.4086,605.7452,629.7284,668.7864,673.583,621.5054,588.6144,568.7428,571.4834,613.9678,605.06,476.9216,468.0135,450.1974,544.7596,752.3848,755.8112,621.5054,472.8101,275.4633
596.152,651.6556,669.4718,648.915,640.0066,630.4134,572.854,544.7596,526.2582,535.8514,593.411,575.595,534.481,501.5899,501.5899,505.016,558.4642,663.9898,690.0286,647.5444,636.5806
542.0186,527.6288,513.9242,505.7014,504.3308,491.9966,481.0329,466.6431,462.5317,454.9941,462.5317,500.9047,511.1832,506.3865,482.4034,463.9022,446.0861,451.5679,446.7713,436.4928,428.9552
563.2608,583.1324,615.3384,629.7284,620.8204,572.854,536.5366,530.3696,533.1106,541.3334,585.8734,666.7308,723.605,735.9394,733.1984,717.438,690.0286,692.7696,691.3992,684.547,672.2128
561.2052,571.4834,589.2996,600.2632,589.2996,571.4834,573.5392,622.876,620.135,608.4862,580.3916,550.9266,511.8683,550.2414,591.3554,620.8204,646.8592,661.2488,657.8228,657.1376,657.1376
