359.4156,354.8515,497.4767,881.9942,1057.7088,1093.08,1229.9996,1745.7324,1857.551,1954.536,1992.189,1501.5584,2245.492,2258.042,2279.721,2305.964,2320.797,2334.49,2344.758,2327.644,2319.657
1956.818,1986.484,2007.022,2019.573,2032.124,2033.265,2040.111,2036.688,2043.534,2070.918,2101.725,2121.122,2135.955,2159.916,2179.313,2202.133,2207.838,2231.799,2239.7868,2255.76,2270.593
1951.113,1977.356,1993.33,2002.458,2017.291,2026.419,2030.983,2038.97,2051.521,2066.354,2081.187,2098.302,2115.417,2137.096,2156.494,2172.467,2188.441,2199.851,2211.261,2222.671,2230.659
1983.0608,1996.753,2012.727,2018.432,2028.701,2028.701,2025.278,1994.471,2028.701,2028.701,2040.111,2053.803,2070.918,2092.597,2106.289,2134.814,2149.647,2170.185,2187.3,2202.133,2216.966
1971.651,1993.33,2016.15,2029.842,2044.675,2060.649,2064.072,2048.098,2065.213,2098.302,2138.238,2161.057,2181.595,2212.403,2250.055,2284.286,2353.886,2461.141,2595.779,2750.955,3009.962
1908.8956,1935.139,2016.15,2070.918,2164.48,2248.914,2309.387,2124.545,2045.816,2099.443,2285.426,2521.614,2544.434,2671.085,2924.387,3081.846,3413.877,4459.034,4533.2,4324.398,4009.48
1914.601,1939.703,2064.072,2134.814,2286.568,2461.141,2375.566,1929.434,1920.306,2305.964,2657.393,2446.308,2308.246,2560.408,3024.795,3494.888,4035.723,4302.718,4031.159,3396.762,3391.057
1835.872,1852.987,2015.009,2074.341,2206.698,2328.785,2416.642,2117.7,1829.0256,1883.7936,2196.428,2272.875,2227.236,2312.811,2666.521,3297.4948,4169.22,4112.17,4040.287,3538.246,3198.228
1835.872,1874.6656,2036.688,2109.712,2244.35,2398.385,2390.399,1881.512,1849.5636,2155.352,2420.065,2351.605,2374.424,2477.115,3038.488,3624.962,4537.764,4464.739,4146.402,3399.044,3425.287
2074.341,2182.737,2325.362,2334.49,2364.156,2398.385,2421.205,2260.325,2070.918,2094.879,2226.094,2462.282,2386.976,2450.871,2683.636,2859.35,3222.189,3296.354,3149.164,2798.877,2672.226
1993.33,1991.048,1997.8936,2000.176,2019.573,2033.265,2041.252,2008.163,2093.738,2344.758,2651.688,2658.534,2547.857,2417.783,2450.871,2463.422,2446.308,2436.038,2430.333,2416.642,2466.846
1855.2688,1876.948,2007.022,2029.842,2068.636,2117.7,2116.558,1973.933,1880.371,1916.883,2070.918,2325.362,2457.718,2475.974,2504.498,2755.519,3174.267,3101.243,3093.255,2951.772,3041.911
1847.282,1866.679,2021.855,2034.406,2056.085,2111.9948,2153.071,1884.9348,1749.1556,1851.846,2113.135,2069.777,2142.801,2123.404,2258.042,2578.663,3257.56,3451.53,3291.789,2988.284,3169.703
1653.3116,1664.7216,1799.3596,1912.319,2020.714,2174.749,2232.941,1920.306,1643.0428,1637.3376,2037.829,2175.89,1970.51,2056.085,2374.424,3282.6616,4031.159,4116.736,3897.6616,3399.044,3446.966
1635.0552,1656.7348,1821.039,1841.577,1949.972,2072.059,2068.636,1693.247,1582.5696,1733.182,2015.009,1907.755,1905.473,2005.881,2175.89,3254.137,4201.168,3944.443,3378.506,2808.005,2398.385
1956.818,1939.703,2185.018,2368.719,2656.252,2878.747,2859.35,2548.997,2200.993,2146.224,2719.007,3311.187,2158.775,2101.725,2235.222,3078.422,4297.012,4184.054,3513.144,2858.209,2404.09
2070.918,2289.991,2331.067,2291.131,2328.785,2374.424,2329.925,2126.828,2026.419,2127.968,2469.127,2399.527,2235.222,2171.327,2262.607,2311.669,2788.608,3169.703,3296.354,3148.024,3150.306
1923.7288,1903.1908,1878.0884,1870.1016,1886.076,1873.5248,1857.551,1822.18,1806.2056,1805.0648,1847.282,1993.33,2133.673,2227.236,2197.57,2183.877,2166.762,2196.428,2258.042,2269.453,2243.209
1989.907,2042.3932,2153.071,2157.634,2111.9948,1995.612,1961.382,1980.779,2013.868,2092.597,2397.2448,2741.828,2892.439,2970.028,2989.424,2972.309,2972.309,3043.051,3077.282,3094.397,3043.051
1954.536,2001.317,2067.495,2138.238,2167.904,2127.968,2127.968,2230.659,2371.001,2343.618,2270.593,2212.403,2122.263,2182.737,2405.232,2610.612,2777.199,2904.991,2965.463,2995.129,3040.77
